class,precision,recall,f1-score,support
Analysis,0.041935483870967745,0.0065,0.011255411255411256,2000.0
Backdoor,0.08806818181818182,0.05326460481099656,0.06638115631691649,1746.0
DoS,0.32982622059345074,0.45499021526418787,0.382427523816051,12264.0
Exploits,0.8407041182223188,0.4633905309496002,0.5974632714917276,33393.0
Fuzzers,0.3931070225447007,0.16684997800263968,0.23426762412168944,18184.0
Generic,0.9993104328949048,0.9782,0.9886425367948961,40000.0
Normal,0.6301670960270379,0.95225,0.7584304020707997,56000.0
Reconnaissance,0.8289886934673367,0.5031932132303879,0.6262530399193309,10491.0
Shellcode,0.5950752393980848,0.38393645189761694,0.4667381974248927,1133.0
Worms,0.7017543859649122,0.3076923076923077,0.42780748663101603,130.0
accuracy,0.6980797417603413,0.6980797417603413,0.6980797417603413,0.6980797417603413
macro avg,0.5448936874801896,0.42702673018477366,0.4559666649842732,175341.0
weighted avg,0.7084975042528266,0.6980797417603413,0.6741821419746153,175341.0
